file,marker,frame,release_x,release_y,release_z,pitcher_id,elbow_angle,shoulder_angle
openbiomechanics\baseball_pitching\data\c3d\000002\000002_003034_73_207_002_FF_809.c3d,RFIN,572,1.2705674171447754,-0.7008107900619507,1.5954872369766235,000002,119.4700442892529,51.50263830871216
openbiomechanics\baseball_pitching\data\c3d\000002\000002_003034_73_207_005_FF_814.c3d,RFIN,557,1.3491607904434204,-0.7120254039764404,1.6154955625534058,000002,123.33555610246053,48.64646213144338
openbiomechanics\baseball_pitching\data\c3d\000002\000002_003034_73_207_006_FF_803.c3d,RFIN,521,1.3302544355392456,-0.6980416774749756,1.619359016418457,000002,124.80142132563098,50.416624502298376
openbiomechanics\baseball_pitching\data\c3d\000002\000002_003034_73_207_008_FF_798.c3d,RFIN,523,1.664149284362793,-0.5790538191795349,1.57550847530365,000002,131.4999827181038,35.61556915093947
openbiomechanics\baseball_pitching\data\c3d\000002\000002_003034_73_207_011_FF_799.c3d,RFIN,508,1.5876851081848145,-0.6584961414337158,1.599562168121338,000002,133.5735432567494,36.97803466454854
openbiomechanics\baseball_pitching\data\c3d\000002\000002_003034_model.c3d,RFIN,8,-0.22232241928577423,-1.0768581628799438,1.7092210054397583,000002,147.94167191324942,45.598403396451104
openbiomechanics\baseball_pitching\data\c3d\000072\000072_002996_76_229_001_FF_889.c3d,RFIN,502,1.9198150634765625,-0.4759224057197571,1.603330135345459,000072,120.3709734564229,21.883603710116954
openbiomechanics\baseball_pitching\data\c3d\000072\000072_002996_76_229_005_FF_894.c3d,RFIN,493,1.8395700454711914,-0.4528728723526001,1.6092761754989624,000072,125.45459874780911,23.031109682113474
openbiomechanics\baseball_pitching\data\c3d\000072\000072_002996_76_229_006_FF_887.c3d,RFIN,495,1.9113050699234009,-0.4182192087173462,1.6239007711410522,000072,125.3390783670845,23.582293866811742
openbiomechanics\baseball_pitching\data\c3d\000072\000072_002996_76_229_007_FF_863.c3d,RFIN,480,1.9801133871078491,-0.4273264408111572,1.537274956703186,000072,125.12577687696424,22.976588241082897
openbiomechanics\baseball_pitching\data\c3d\000072\000072_002996_model.c3d,RFIN,9,0.04281365126371384,-1.1300270557403564,1.6046957969665527,000072,142.9874475004686,52.962309417955105
openbiomechanics\baseball_pitching\data\c3d\000090\000090_003044_74_253_002_FF_871.c3d,RFIN,586,1.9744915962219238,-0.9642052054405212,1.3868104219436646,000090,130.18268789903485,24.91043797957451
openbiomechanics\baseball_pitching\data\c3d\000090\000090_003044_74_253_003_FF_873.c3d,RFIN,613,1.982492446899414,-0.9244384765625,1.3781031370162964,000090,116.47274666355436,33.29854502774252
openbiomechanics\baseball_pitching\data\c3d\000090\000090_003044_74_253_004_FF_878.c3d,RFIN,585,1.9102307558059692,-0.9684678912162781,1.4095364809036255,000090,131.526716479513,26.702535455880035
openbiomechanics\baseball_pitching\data\c3d\000090\000090_003044_74_253_005_FF_878.c3d,RFIN,707,1.9270702600479126,-1.0935252904891968,1.3548486232757568,000090,130.15776434961703,29.66586760332385
openbiomechanics\baseball_pitching\data\c3d\000090\000090_003044_74_253_006_FF_878.c3d,RFIN,752,1.9734567403793335,-1.0172557830810547,1.3952202796936035,000090,125.35352186249072,26.652894503645452
openbiomechanics\baseball_pitching\data\c3d\000090\000090_003044_model.c3d,RFIN,8,0.029665879905223846,-1.1114169359207153,1.6680153608322144,000090,155.75762854102115,48.06781627257387
openbiomechanics\baseball_pitching\data\c3d\000283\000283_001826_75_201_001_FF_893.c3d,RFIN,515,1.9624501466751099,-0.5258455872535706,1.5458252429962158,000283,133.6841021343107,31.13864119738362
openbiomechanics\baseball_pitching\data\c3d\000283\000283_001826_75_201_004_FF_889.c3d,RFIN,470,1.9762685298919678,-0.5335206985473633,1.5174800157546997,000283,134.0460582092629,30.6594384777247
openbiomechanics\baseball_pitching\data\c3d\000283\000283_001826_75_201_007_FF_888.c3d,RFIN,477,1.9973348379135132,-0.4467984437942505,1.5100992918014526,000283,134.42749868621027,29.957970809430826
openbiomechanics\baseball_pitching\data\c3d\000283\000283_001826_75_201_008_FF_896.c3d,RFIN,485,1.9959776401519775,-0.42798173427581787,1.5503805875778198,000283,135.87491471118489,28.902664176409587
openbiomechanics\baseball_pitching\data\c3d\000283\000283_001826_75_201_009_FF_891.c3d,RFIN,497,1.9800660610198975,-0.4990250766277313,1.5344935655593872,000283,135.18017994532522,31.829561531707522
openbiomechanics\baseball_pitching\data\c3d\000283\000283_001826_model.c3d,LFIN,2,-0.09135223180055618,0.5398473143577576,1.6269779205322266,000283,148.1064907592494,51.775760881009134
openbiomechanics\baseball_pitching\data\c3d\000359\000359_002734_72_194_001_FF_879.c3d,RFIN,555,1.9766228199005127,-0.6468548774719238,1.3616164922714233,000359,135.1093758397841,27.86341631326152
openbiomechanics\baseball_pitching\data\c3d\000359\000359_002734_72_194_002_FF_881.c3d,RFIN,551,1.94779372215271,-0.6740033030509949,1.354322910308838,000359,136.76028946543047,27.50110367153369
openbiomechanics\baseball_pitching\data\c3d\000359\000359_002734_72_194_003_FF_878.c3d,RFIN,485,1.9701415300369263,-0.5783746242523193,1.3991838693618774,000359,135.68263871677797,26.757022804126215
openbiomechanics\baseball_pitching\data\c3d\000359\000359_002734_72_194_004_FF_884.c3d,RFIN,581,1.9348453283309937,-0.7158998847007751,1.3512835502624512,000359,137.0048079656787,28.43483202022919
openbiomechanics\baseball_pitching\data\c3d\000359\000359_002734_72_194_005_FF_868.c3d,RFIN,547,1.8772233724594116,-0.7260261178016663,1.3795429468154907,000359,138.04443036648314,29.975568093860534
